tokenizer,lang,sentences,tokens,words,chars,bytes,graphemes,tok_per_word,tok_per_char,tok_per_byte,tok_per_grapheme,tok_per_sentence
gpt2,eng,1012,27044,21901,131966,132096,131966,1.2348294598420164,0.2049315732840277,0.2047298934108527,0.2049315732840277,26.723320158102766
gpt2,hin,1012,200688,25643,131180,337439,85957,7.826229380337714,1.5298673578289372,0.5947386046070549,2.334748769733704,198.3083003952569
gpt2,kan,1012,367366,16100,138027,375341,90371,22.81776397515528,2.6615517253870618,0.9787526542530659,4.065087251441281,363.0098814229249
gpt2,tam,1012,420171,16775,154131,421635,99724,25.047451564828613,2.7260641921482374,0.9965278024831904,4.213338815129758,415.1887351778656
gpt2,tel,1012,350748,16938,132465,353661,76567,20.707757704569605,2.6478541501528707,0.9917632987521949,4.580929120900649,346.5889328063241
gpt2,mal,1012,409983,14930,149332,411741,79428,27.460348292029472,2.745446387914178,0.9957303256173177,5.161693609306542,405.1215415019763
cl100k_base,eng,1012,27182,21901,131966,132096,131966,1.2411305419843843,0.20597729718260765,0.20577458817829458,0.20597729718260765,26.859683794466402
cl100k_base,hin,1012,129573,25643,131180,337439,85957,5.052957922239988,0.9877496569599025,0.3839894025290497,1.507416498947148,128.03656126482213
cl100k_base,kan,1012,240716,16100,138027,375341,90371,14.951304347826087,1.7439776275656211,0.6413261540838864,2.6636420975755497,237.86166007905138
cl100k_base,tam,1012,207768,16775,154131,421635,99724,12.385573770491803,1.3479961850633553,0.4927674410331211,2.083430267538406,205.30434782608697
cl100k_base,tel,1012,225253,16938,132465,353661,76567,13.298677529814618,1.700471822745631,0.6369178393998773,2.941907087909935,222.5820158102767
cl100k_base,mal,1012,242924,14930,149332,411741,79428,16.270864032150033,1.62673773872981,0.5899922524111031,3.058417686458176,240.04347826086956
xlm-roberta-base,eng,1012,30661,21901,131966,132096,131966,1.3999817359937903,0.23234014821999607,0.23211149467054262,0.23234014821999607,30.297430830039527
xlm-roberta-base,hin,1012,38221,25643,131180,337439,85957,1.4905042311741996,0.29136301265436804,0.1132678795278554,0.44465255883755833,37.76778656126482
xlm-roberta-base,kan,1012,41459,16100,138027,375341,90371,2.5750931677018634,0.3003687684293653,0.11045689120026855,0.4587644266412898,40.96739130434783
xlm-roberta-base,tam,1012,41354,16775,154131,421635,99724,2.46521609538003,0.2683042347094355,0.09808009297140892,0.4146845293008704,40.86363636363637
xlm-roberta-base,tel,1012,40372,16938,132465,353661,76567,2.3835163537607746,0.30477484618578493,0.11415451519958378,0.5272767641412096,39.89328063241107
xlm-roberta-base,mal,1012,42190,14930,149332,411741,79428,2.825853985264568,0.2825248439718212,0.10246732776186972,0.5311728861358714,41.6897233201581
qwen2.5,eng,1012,27621,21901,131966,132096,131966,1.2611752887995982,0.20930391161359743,0.20909792877906977,0.20930391161359743,27.293478260869566
qwen2.5,hin,1012,121957,25643,131180,337439,85957,4.755956791327068,0.9296920262235097,0.3614193972836572,1.4188140581918867,120.51086956521739
qwen2.5,kan,1012,191127,16100,138027,375341,90371,11.871242236024845,1.3847073398682865,0.5092089593196587,2.1149151829679873,188.8606719367589
qwen2.5,tam,1012,168828,16775,154131,421635,99724,10.064262295081967,1.0953539521575801,0.40041267921306345,1.6929525490353374,166.82608695652175
qwen2.5,tel,1012,193169,16938,132465,353661,76567,11.404475144645177,1.4582644472124713,0.5461981954470524,2.5228753901811487,190.87845849802372
qwen2.5,mal,1012,199583,14930,149332,411741,79428,13.367916945746819,1.3365052366538988,0.48472947799709043,2.5127536888754594,197.21640316205534
